0	unknown error
745	attribute %sq does not apply to automatic variables
746	attribute %sq requires an automatic variable
747	attribute %sq does not apply to a variable or function with external linkage
748	attribute %sq requires a local variable
749	attributes ignored here
74A	attribute does not apply to any entity
74B	bad attribute argument substitution
74C	the argument of the "tls_model" attribute must be "global-dynamic", "local-dynamic", "initial-exec", or "local-exec"
74D	the declaration %p specified a different "tls_model" argument
74E	attribute %sq does not apply to inline functions
74F	attribute %sq requires a inline function
750	both file names in an include_alias pragma must use the same delimiter characters
751	comparison between signed and unsigned operands
752	attribute %sq ignored on unnamed type
753	attribute %sq ignored because no definition follows
754	thread locality is incompatible with a previous declaration of %nd
755	this enclosing-function local variable cannot be referenced in this lambda body because an enclosing lambda does not allow implicit captures
756	this attribute argument contains unmatched parentheses, brackets, or braces
757	a call to __builtin_fpclassify requires five integral arguments followed by one floating-point argument
758	the last argument in a call to __builtin_fpclassify must have a real floating-point type
759	alignment cannot be set to less than the default alignment
75A	attributes are not allowed on explicit instantiations
75B	attribute %sq does not apply to a definition
75C	attribute %sq requires a definition
75D	standard attributes cannot appear on friend declarations that are not definitions
75E	specified alignment (%s1) is different from alignment (%s2) specified on a previous declaration
75F	alignment attribute must also appear on definition %p
760	%n may not be used in the type-id of the alias-declaration
761	alias template
762	%t cannot be transparent because its first field has a floating-point type
763	%t cannot be transparent because its first field is a bit field
764	virtual function of a "base_check" class overrides a base class member but lacks the "override" attribute
765	"hiding" attribute specified on a declaration that does not hide a base class declaration
766	"hiding" attribute specified on a declaration referred to by the using-declaration %p
767	attribute "hiding" is required on a declaration (in a "base_check" class) that hides %nd
768	%n is not defined in this translation unit but depends on a local type
769	%n is not defined in this translation unit but depends on a type with no linkage
76A	attribute %sq is missing in another translation unit
76B	attribute %sq conflicts with another translation unit
76C	the "nonstd_gnu_keywords" option is only valid in GNU C and GNU C++ modes
76D	use of a const variable in a constant expression is nonstandard in C
76E	an initializer cannot be specified for a flexible array member with automatic storage duration
76F	
770	a "final" class type cannot be used as a base class
771	exported templates are no longer in the standard C++ language
772	a template-dependent designator is not allowed
773	second operand of offsetof may not be a field with reference type
774	long lifetime temporaries are incompatible with other requested newer language features
775	wide character string literal will not be quoted in diagnostics
776	missing arguments for attribute %sq
777	options "c++11" and "c++11_sfinae" require a different compiler configuration
778	template parameter pack not at end of parameter list
779	a parameter pack declaration is not allowed here
77A	a parameter pack cannot have a default
77B	C++/CLI can be enabled only in Microsoft C++ mode
77C	"value__" cannot be used as the name of an enumerator constant (it is a reserved name in this context)
77D	an explicit enumerator value is required in an enum type with boolean underlying type
77E	
77F	parameter pack %sq was referenced but not expanded
780	pack expansion does not make use of any argument packs
781	pack %sq does not have the same number of elements as %sq2
782	
783	vector_size attribute is not allowed with an enum type
784	a property cannot be both static and virtual
785	an indexed property cannot be trivial
786	this declaration cannot appear in a property definition
787	a qualified function type cannot be used to declare an accessor function
788	an accessor function cannot have an ellipsis parameter
789	a "get" accessor was already declared for this property %p
78A	a "set" accessor was already declared for this property %p
78B	a "get" accessor cannot have a parameter
78C	return type of "get" accessor does not match property type
78D	return type of "set" accessor must be void
78E	a property cannot declare an empty list of indices
78F	a property index cannot have type void
790	index type does not match the corresponding parameter in the "set" accessor
791	index type does not match the corresponding parameter in the "get" accessor
792	index type is missing in the "set" accessor
793	index type is missing in the "get" accessor
794	"set" accessor is missing its value parameter
795	accessor function has too many parameters
796	the last parameter of the "set" accessor does not match the property type
797	%sq requires C++/CLI mode
798	error in Win32 API "%s": %s
799	#using may only be used at global scope
79A	metadata
79B	member name %sq is reserved by %nd
79C	expected a "["
79D	%[C++/CLI] mode requires microsoft_version >= 1600
79E	a default-indexed property cannot be static
79F	a property accessor cannot be both static and virtual
7A0	a top-level visibility specifier cannot appear on a nested type declaration
7A1	a top-level visibility specifier requires a type definition
7A2	a trivial property cannot have a reference type
7A3	a trivial property cannot have a const or volatile type
